Year;I_D_GDP;F_D_GDP;Assets_GDP;Cont_D_GDP;G_D_GDP;N_D_GDP;Corruption_PE_p;Corruption_GDP_p;N_presi;Median_presi;Me_Epa_Presi;Number of Internal Conflicts;Number of External Conflicts;Number of Armyraces;totalwar;totalwarmy;earthquakedummy
1822;6.986550996;15.314547;;;22.30109799;22.30109799;139;6.1;4;;;1;2;0;3;3;1
1823;6.418407646;14.64769809;;;21.06610573;21.06610573;139;6.1;7;3;;1;1;0;2;2;0
1824;5.850264297;11.56938655;;;17.41965085;17.41965085;139;6.1;2;4;;1;1;0;2;2;0
1825;5.282120948;20.32449167;;;25.60661262;25.60661262;139;6.1;3;3;3;2;1;0;3;3;0
1826;4.713977599;36.31700462;;;41.03098221;41.03098221;139;6.1;5;2;2.705882353;2;1;0;3;3;0
1827;4.101286998;34.88170107;;;38.98298807;38.98298807;139;6.1;2;3;2.4;1;1;0;2;2;0
1828;3.491785115;31.39203589;;;34.88382101;34.88382101;139;6.1;1;2;2.247058824;1;2;0;3;3;0
1829;3.02389678;36.58840061;;;39.61229739;39.61229739;139;6.1;3;2;2.211764706;0;1;0;1;1;0
1830;2.836046826;40.14171784;;;42.97776467;42.97776467;80;4.7;2;2;2.352941176;0;0;0;0;0;0
1831;2.834413976;42.84933429;;;45.68374826;45.68374826;80;4.7;3;3;2.647058824;0;0;0;0;0;0
1832;2.832893737;50.85764562;;;53.69053935;53.69053935;80;4.7;2;3;2.894117647;0;0;0;0;0;0
1833;2.831486109;40.55760165;;;43.38908775;43.38908775;80;4.7;3;3;3;0;0;0;0;0;0
1834;2.83019109;45.15819476;;;47.98838585;47.98838585;80;4.7;3;3;2.894117647;1;0;0;1;1;1
1835;2.829008682;43.45420871;;;46.28321739;46.28321739;80;4.7;6;3;2.647058824;1;0;0;1;1;0
1836;2.827938884;37.24899995;;;40.07693884;40.07693884;80;4.7;2;2;2.352941176;2;1;0;3;3;0
1837;2.826981697;41.65456549;;;44.48154719;44.48154719;80;4.7;2;2;2.105882353;2;2;0;4;4;0
1838;2.82613712;42.3053133;;;45.13145042;45.13145042;80;4.7;2;2;2;2;2;0;4;4;0
1839;2.825405153;38.71524463;;;41.54064978;41.54064978;80;4.7;2;2;2;3;3;0;6;6;0
1840;2.824785796;40.64556762;;;43.47035341;43.47035341;80;4.7;2;2;2.105882353;0;0;0;0;0;1
1841;2.82427905;48.28077647;;;51.10505552;51.10505552;80;4.7;2;2;2.352941176;0;1;0;1;1;1
1842;2.823884914;44.05563854;;;46.87952346;46.87952346;80;4.7;3;3;2.647058824;0;1;0;1;1;0
1843;2.823603388;44.61593241;;;47.4395358;47.4395358;80;4.7;4;3;2.788235294;1;0;0;1;1;0
1844;2.823434473;46.26729787;;;49.09073234;49.09073234;80;4.7;6;3;2.541176471;1;0;0;1;1;0
1845;2.823378167;41.67391339;;;44.49729155;44.49729155;80;4.7;2;2;2;0;0;0;0;0;0
1846;3.29381648;43.32025138;;;46.61406786;46.61406786;41;4.1;1;1;1.458823529;0;0;0;0;0;1
1847;2.827180071;49.13416086;;;51.96134093;51.96134093;41;4.1;1;1;1.105882353;0;0;0;0;0;0
1848;1.960569596;43.99601726;;;45.95658686;45.95658686;41;4.1;1;1;1;0;0;0;0;0;0
1849;1.493933187;35.15335562;;;36.64728881;36.64728881;41;4.1;1;1;1;0;0;0;0;0;0
1850;2.344497842;36.38875711;;;38.73325495;38.73325495;41;4.1;1;1;1;0;0;0;0;0;0
1851;4.215740083;26.63904189;;;30.85478197;30.85478197;41;4.1;2;1;1.105882353;0;0;0;0;0;0
1852;6.086982325;29.32951368;;;35.41649601;35.41649601;65;5;1;1;1.247058824;0;0;0;0;0;0
1853;6.93754698;47.93931763;;;54.87686461;54.87686461;65;5;1;2;1.4;0;0;0;0;0;0
1854;4.719837665;51.53031855;;;56.25015621;56.25015621;65;5;2;1;1.6;1;0;0;1;1;0
1855;3.584209099;39.70743768;;;43.29164678;43.29164678;65;5;2;2;1.752941176;0;0;0;0;0;0
1856;2.655058455;36.24619857;;;38.90125702;38.90125702;33;3.5;1;2;1.894117647;1;0;0;1;1;0
1857;1.932385732;29.98093315;;;31.91331888;31.91331888;33;3.5;2;2;2;1;1;0;2;2;0
1858;1.416190929;27.44022832;;;28.85641925;28.85641925;33;3.5;2;2;2;1;1;0;2;2;0
1859;1.106474048;30.41649606;;;31.5229701;31.5229701;33;3.5;2;2;2;0;1;0;1;1;0
1860;1.003235087;18.17268204;;;19.17591713;19.17591713;33;3.5;2;2;2;0;1;0;1;1;0
1861;1.21834505;18.70253405;;;19.9208791;19.9208791;33;3.5;1;2;2;0;0;0;0;0;0
